partition	array_job	task_idx	exp	config	task	seed
a100	4706620	0	e735	director	dmc_cheetah_run	0
a100	4706620	1	e736	som_lip	dmc_cheetah_run	0
a100	4706620	2	e737	dreamerv3	dmc_cheetah_run	0
a100	4706620	3	e738	director	pinpad_six	0
a100	4706620	4	e739	som_lip	pinpad_six	0
a100	4706620	5	e740	dreamerv3	pinpad_six	0
a100	4706620	6	e744	director	pinpad_five	0
a100	4706620	7	e745	som_lip	pinpad_five	0
a100	4706620	8	e746	dreamerv3	pinpad_five	0
a100	4706620	9	e747	director	dmc_cartpole_swingup	0
a100	4706620	10	e748	som_lip	dmc_cartpole_swingup	0
a100	4706620	11	e749	dreamerv3	dmc_cartpole_swingup	0
a100	4706620	12	e753	director	dmc_cheetah_run	1
a100	4706620	13	e754	som_lip	dmc_cheetah_run	1
a100	4706620	14	e755	dreamerv3	dmc_cheetah_run	1
a100	4706620	15	e756	director	pinpad_six	1
a100	4706620	16	e757	som_lip	pinpad_six	1
a100	4706620	17	e758	dreamerv3	pinpad_six	1
a100	4706620	18	e762	director	pinpad_five	1
a100	4706620	19	e763	som_lip	pinpad_five	1
a100	4706620	20	e764	dreamerv3	pinpad_five	1
a100	4706620	21	e765	director	dmc_cartpole_swingup	1
a100	4706620	22	e766	som_lip	dmc_cartpole_swingup	1
a100	4706620	23	e767	dreamerv3	dmc_cartpole_swingup	1
a100	4706620	24	e771	director	dmc_cheetah_run	2
a100	4706620	25	e772	som_lip	dmc_cheetah_run	2
a100	4706620	26	e773	dreamerv3	dmc_cheetah_run	2
a100	4706620	27	e774	director	pinpad_six	2
a100	4706620	28	e775	som_lip	pinpad_six	2
a100	4706620	29	e776	dreamerv3	pinpad_six	2
a100	4706620	30	e780	director	pinpad_five	2
a100	4706620	31	e781	som_lip	pinpad_five	2
a100	4706620	32	e782	dreamerv3	pinpad_five	2
a100	4706620	33	e783	director	dmc_cartpole_swingup	2
a100	4706620	34	e784	som_lip	dmc_cartpole_swingup	2
a100	4706620	35	e785	dreamerv3	dmc_cartpole_swingup	2
v100	4706621	0	e741	director	dmc_hopper_hop	0
v100	4706621	1	e742	som_lip	dmc_hopper_hop	0
v100	4706621	2	e750	director	pinpad_four	0
v100	4706621	3	e751	som_lip	pinpad_four	0
v100	4706621	4	e759	director	dmc_hopper_hop	1
v100	4706621	5	e760	som_lip	dmc_hopper_hop	1
v100	4706621	6	e768	director	pinpad_four	1
v100	4706621	7	e769	som_lip	pinpad_four	1
v100	4706621	8	e777	director	dmc_hopper_hop	2
v100	4706621	9	e778	som_lip	dmc_hopper_hop	2
v100	4706621	10	e786	director	pinpad_four	2
v100	4706621	11	e787	som_lip	pinpad_four	2
p100	4706622	0	e743	dreamerv3	dmc_hopper_hop	0
p100	4706622	1	e752	dreamerv3	pinpad_four	0
p100	4706622	2	e761	dreamerv3	dmc_hopper_hop	1
p100	4706622	3	e770	dreamerv3	pinpad_four	1
p100	4706622	4	e779	dreamerv3	dmc_hopper_hop	2
p100	4706622	5	e788	dreamerv3	pinpad_four	2
